Primary Number,OTIS ID,Property Number,Name,Aliases and Alias Types,St Number,St Name,City,County,Zip,Vicinity,Other Geography,Evaluation Info,District Elements,Parent District,Assoc Resources,Parcel Num,MilePost,Ownership,Construction Year(s),oCode,Date Modified,Export Date
,538397,159490,GENERATOR SHED,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1971,o37121c8,4/5/2018,9/23/2022
,538398,159491,GARBAGE STORAGE SHED,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1970,o37121c8,4/5/2018,9/23/2022
,538399,159492,STORAGE SHED,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1960,o37121c8,4/5/2018,9/23/2022
,538400,159493,TOTEM POLES,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1976,o37121c8,4/5/2018,9/23/2022
,538402,159495,BASKETBALL,CAMP PEACEFUL PINES^Other Name | VOLLEYBALL COURTS^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1948,,4/5/2018,9/23/2022
,538403,159496,FOOT BRIDGES,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1948,o37121c8,4/5/2018,9/23/2022
,524614,173666,HERMIT VALLEY RECREATION RESIDENCE TRACT,,,,STA NF,ALPINE,,,,"2S2, 04/22/2008, USFS080319L",,,,,,F,1927-1959,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524615,173667,LOT 1,HERMIT VALLEY RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524616,173668,LOT 2,HERMIT VALLEY RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524617,173669,LOT 3,HERMIT VALLEY RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524618,173670,LOT 4,HERMIT VALLEY RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524619,173671,LOT 5,HERMIT VALLEY RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524620,173672,PACIFIC HEIGHT RECREATION RESIDENCE TRACT,,,,STA NF,ALPINE,,,,"2S2, 04/22/2008, USFS080319L",,,,,,F,1925-1959,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524621,173673,LOT 1,PACIFIC HEIGHTS RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524622,173674,LOT 2,PACIFIC HEIGHTS RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524623,173675,LOT 4,PACIFIC HEIGHTS RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524624,173676,LOT 6,PACIFIC HEIGHTS RECREATION RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524625,173677,LOT 7,PACIFIC HEIGHTS RECREATIONAL RESIDENCE TRACT^Other Name,,,STA NF,ALPINE,,,,"2D2, 04/22/2008, USFS080319L",,,,,,F,1950,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524626,173678,LAKE ALPINE RECREATION RESIDENCE TRACT,,,,STA NF,ALPINE,,,,"6Y, 04/22/2008, USFS080319L",,,,,,F,1925-1959,o37122g4 | o38120d1,4/5/2018,9/23/2022
,524627,173679,PACIFIC CREEK RECREATION RESIDENCE TRACT,,,,STA NF,ALPINE,,,,"6Y, 04/22/2008, USFS080319L",,,,,,F,1925-1959,o37122g4 | o38119e8,4/5/2018,9/23/2022
,524628,173680,PACIFIC VALLEY RECREATION RESIDENCE TRACT,,,,STA NF,ALPINE,,,,"6Y, 04/22/2008, USFS080319L",,,,,,F,1925-1959,o37122g4 | o38119e8,4/5/2018,9/23/2022
,513182,184930,TOWER COW CAMP CABINS,,,,STA NF,ALPINE,,,,"2S2, 08/22/2011, USFS110525A",,,,,,F,1901,o35119d2,4/5/2018,9/23/2022
,513184,184932,TOWER COW CAMP CABINS HD,TOWER CABIN^Other Name,,,STA NF,ALPINE,,,,"2D2, 08/22/2011, USFS110525A",,,,,,F,1917,o35119d2,4/5/2018,9/23/2022
,513185,184933,TOWER COW CABINS HD,HUNTINGTON CABIN^Other Name,,,STA NF,ALPINE,,,,"2D2, 08/22/2011, USFS110525A",,,,,,F,1901,,4/5/2018,9/23/2022
,513187,184935,TOWER COW CAMP CABINS HD,HUNTINGTON BARN^Other Name,,,STA NF,ALPINE,,,,"2D2, 08/22/2011, USFS110525A",,,,,,F,1901,,4/5/2018,9/23/2022
02-000479,489794,92875,FS #05-16-52-294,LAKE ALPINE LODGE^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/16/1994, DOE-02-94-0002-0000 | 6Y, 11/16/1994, USFS940908B",,,,,,,1943,,4/5/2018,9/23/2022
,538377,159467,CAMP PEACEFUL PINES,FS-05-16-53-804^Other Name,3,CLARK FORK RD,STA NF,Alpine,95314,,,"6Y, 11/18/2004, USFS041108K",,,,004 0037 024 00,,,1947,,4/5/2018,9/23/2022
,524691,173489,LAKE ALPINE LODGE,,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1932,o37122g4 | o38120d1,5/14/2019,9/23/2022
,524695,173493,LAKE ALPINE LODGE EMPLOYEE CABIN 1,,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1926,o37122g4 | o38120d1,5/14/2019,9/23/2022
,524697,173495,LAKE ALPINE LODGE EMPLOYEE CABIN 2,,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1926,o37122g4 | o38120d1,5/14/2019,9/23/2022
,524698,173496,LAKE ALPINE LODGE JEFFREY PINE CABIN,,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1930,o37122g4 | o38120d1,5/14/2019,9/23/2022
,524700,173498,LAKE ALPINE LODGE WHITE PINE CABIN,,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1930,o37122g4 | o38120d1,5/14/2019,9/23/2022
,524702,173500,LAKE ALPINE LODGE EMPLOYEE CABIN 3,,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1930,o37122g4 | o38120d1,5/14/2019,9/23/2022
,524887,173502,LAKE ALPINE RESORT EMPLOYEE CABIN 4,,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1930,o37122g4 | o38120d1,5/14/2019,9/23/2022
,524888,173503,LAKE ALPINE LODGE LAUNDRY,SHOWER BUILDING^Other Name,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1930,o37122g4 | o38120d1,5/14/2019,9/23/2022
,524889,173504,LAKE ALPINE LODGE QUAKING ASPEN CABIN,,4000,SR 4,STA NF,Alpine,95223,,,"6Y, 06/12/2008, USFS080521K",,,,,,,1930,o37122g4 | o38120d1,5/14/2019,9/23/2022
,507937,190557,MEADOW LAKE DAM,,,MEADOW LAKE DAM,WOODFORDS,ALPINE,,,,"2S2, 03/26/2012, FERC120224A",,,,,,F,1903,,4/5/2018,9/23/2022
02-000483,487522,90060,KIT CARSON MARKER,,,SR 88,WOODFORDS,ALPINE,,X,,"7L, 07/12/1939, SHL-0315-0000",,,,001-066-001,,F,,,4/5/2018,9/23/2022
02-000484,487665,90234,MEMORIAL TO PIONEER ODD FELLOWS,,,SR 88,WOODFORDS,ALPINE,,X,,"7L, 01/03/1944, SHL-0378-0000",,,,001-066-001,,F,,,4/5/2018,9/23/2022
