Primary Number,OTIS ID,Property Number,Name,Aliases and Alias Types,St Number,St Name,City,County,Zip,Vicinity,Other Geography,Evaluation Info,District Elements,Parent District,Assoc Resources,Parcel Num,MilePost,Ownership,Construction Year(s),oCode,Date Modified,Export Date
,554242,143875,LIAHONA CAMP RESTROOM,RECREATIONAL BLDG^Other Name,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0017-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1979,o38119d7,4/5/2018,9/23/2022
,554243,143876,LIAHONA CAMP RESTROOM,RECREATIONAL BLDG^Other Name,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0018-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1984,o38119d7,4/5/2018,9/23/2022
,554244,143877,LIAHONA CAMP RESTROOM,REC BLDG^Other Name,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0019-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554245,143883,LIAHONA CAMP SHOWER,RECREATION BLDG^Other Name,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0020-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554246,143884,LIAHONA CAMP STAGE,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0021-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554247,143885,LIAHONA CAMP FLAG POLE,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0022-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554248,143886,LIAHONA CAMP CARETAKER'S CABIN,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0023-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554249,143887,LIAHONA CAMP TOOL SHED,STORAGE SHED^Other Name,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0024-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554250,143888,LIAHONA CAMP EAST SHOWERS,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0025-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554251,143889,LIAHONA CAMP EAST RESTROOMS,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0026-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554252,143890,LIAHONA CAMP EAST RESTROOMS,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0027-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554253,143891,LIAHONA CAMP OUTHOUSE,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0028-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554254,143892,LIAHONA CAMP STORAGE SHED #2,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0029-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554255,143893,LIAHONA CAMP BUS LANDING #1,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0030-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554256,143894,LIAHONA CAMP BUS LANDING #2,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0031-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554257,143895,LIAHONA CAMP GARBAGE BIN,STORAGE^Other Name,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0032-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1989,o38119d7,4/5/2018,9/23/2022
,554258,143896,LIAHONA CAMP MONUMENT,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0033-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1959,o38119d7,4/5/2018,9/23/2022
,554259,143897,LIAHONA CAMP CHAPEL,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0034-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1990,o38119d7,4/5/2018,9/23/2022
,554260,143898,A FRAME #1 SLEEPING SHELTER LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0035-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
,554261,143899,A FRAME #2 SLEEPING SHELTER LIAHONA CAMP,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0036-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,,o38119d7,4/5/2018,9/23/2022
